    age       beech      spruce
1     1 -75.6590000 -31.3799160
2     2 -55.4558808 -23.3621383
3     3 -44.2917327 -18.3275377
4     4 -36.6633716 -14.6012150
5     5 -30.9136886 -11.6226991
6     6 -26.3243775  -9.1319022
7     7 -22.5203116  -6.9858502
8     8 -19.2814724  -5.0971463
9     9 -16.4680675  -3.4082989
10   10 -13.9859044  -1.8793909
11   11 -11.7685918  -0.4815337
12   12  -9.7676323   0.8068788
13   13  -7.9465573   2.0024447
14   14  -6.2772754   3.1182007
15   15  -4.7377046   4.1645803
16   16  -3.3101833   5.1500679
17   17  -1.9803724   6.0816597
18   18  -0.7364763   6.9651943
19   19   0.4313204   7.8055972
20   20   1.5312696   8.6070627
21   21   2.5703726   9.3731929
22   22   3.5546185  10.1071050
23   23   4.4891690  10.8115153
24   24   5.3785028  11.4888053
25   25   6.2265302  12.1410754
26   26   7.0366845  12.7701876
27   27   7.8119956  13.3778002
28   28   8.5551507  13.9653972
29   29   9.2685437  14.5343117
30   30   9.9543155  15.0857462
31   31  10.6143887  15.6207888
32   32  11.2504957  16.1404277
33   33  11.8642028  16.6455630
34   34  12.4569307  17.1370170
35   35  13.0299717  17.6155431
36   36  13.5845048  18.0818331
37   37  14.1216082  18.5365238
38   38  14.6422704  18.9802032
39   39  15.1474000  19.4134147
40   40  15.6378337  19.8366619
41   41  16.1143439  20.2504126
42   42  16.5776448  20.6551016
43   43  17.0283982  21.0511344
44   44  17.4672187  21.4388893
45   45  17.8946773  21.8187200
46   46  18.3113063  22.1909577
47   47  18.7176019  22.5559130
48   48  19.1140279  22.9138773
49   49  19.5010182  23.2651250
50   50  19.8789793  23.6099140
51   51  20.2482925  23.9484878
52   52  20.6093162  24.2810759
53   53  20.9623872  24.6078953
54   54  21.3078227  24.9291512
55   55  21.6459218  25.2450377
56   56  21.9769668  25.5557391
57   57  22.3012242  25.8614300
58   58  22.6189461  26.1622762
59   59  22.9303712  26.4584354
60   60  23.2357256  26.7500576
61   61  23.5352237  27.0372855
62   62  23.8290689  27.3202552
63   63  24.1174546  27.5990964
64   64  24.4005647  27.8739329
65   65  24.6785740  28.1448829
66   66  24.9516490  28.4120595
67   67  25.2199485  28.6755707
68   68  25.4836237  28.9355199
69   69  25.7428192  29.1920062
70   70  25.9976728  29.4451244
71   71  26.2483164  29.6949657
72   72  26.4948759  29.9416173
73   73  26.7374720  30.1851630
74   74  26.9762202  30.4256834
75   75  27.2112310  30.6632558
76   76  27.4426104  30.8979547
77   77  27.6704601  31.1298515
78   78  27.8948777  31.3590153
79   79  28.1159569  31.5855123
80   80  28.3337877  31.8094066
81   81  28.5484564  32.0307596
82   82  28.7600464  32.2496310
83   83  28.9686375  32.4660779
84   84  29.1743069  32.6801558
85   85  29.3771285  32.8919181
86   86  29.5771739  33.1014164
87   87  29.7745119  33.3087007
88   88  29.9692088  33.5138191
89   89  30.1613287  33.7168184
90   90  30.3509334  33.9177437
91   91  30.5380824  34.1166387
92   92  30.7228335  34.3135457
93   93  30.9052422  34.5085057
94   94  31.0853623  34.7015584
95   95  31.2632457  34.8927423
96   96  31.4389429  35.0820948
97   97  31.6125024  35.2696520
98   98  31.7839713  35.4554491
99   99  31.9533952  35.6395201
100 100  32.1208183  35.8218981
101 101  32.2862832  36.0026153
102 102  32.4498316  36.1817029
103 103  32.6115035  36.3591913
104 104  32.7713379  36.5351098
105 105  32.9293726  36.7094872
106 106  33.0856443  36.8823514
107 107  33.2401885  37.0537294
108 108  33.3930398  37.2236477
109 109  33.5442318  37.3921318
110 110  33.6937970  37.5592069
111 111  33.8417671  37.7248972
112 112  33.9881728  37.8892265
113 113  34.1330442  38.0522178
114 114  34.2764102  38.2138937
115 115  34.4182991  38.3742760
116 116  34.5587385  38.5333862
117 117  34.6977552  38.6912450
118 118  34.8353751  38.8478729
119 119  34.9716237  39.0032896
120 120  35.1065256  39.1575145
121 121  35.2401050  39.3105665
122 122  35.3723852  39.4624641
123 123  35.5033891  39.6132251
124 124  35.6331390  39.7628672
125 125  35.7616565  39.9114075
126 126  35.8889628  40.0588629
127 127  36.0150784  40.2052496
128 128  36.1400237  40.3505837
129 129  36.2638180  40.4948808
130 130  36.3864807  40.6381562
131 131  36.5080303  40.7804249
132 132  36.6284852  40.9217016
133 133  36.7478630  41.0620003
134 134  36.8661813  41.2013353
135 135  36.9834570  41.3397201
136 136  37.0997067  41.4771682
137 137  37.2149466  41.6136927
138 138  37.3291924  41.7493064
139 139  37.4424598  41.8840218
140 140  37.5547638  42.0178513
141 141  37.6661192  42.1508069
142 142  37.7765405  42.2829004
143 143  37.8860418  42.4141433
144 144  37.9946369  42.5445470
145 145  38.1023394  42.6741227
146 146  38.2091625  42.8028810
147 147  38.3151192  42.9308328
148 148  38.4202221  43.0579885
149 149  38.5244836  43.1843582
150 150  38.6279160  43.3099522
151 151  38.7305310  43.4347801
152 152  38.8323403  43.5588516
153 153  38.9333553  43.6821763
154 154  39.0335873  43.8047635
155 155  39.1330471  43.9266222
156 156  39.2317455  44.0477614
157 157  39.3296929  44.1681899
158 158  39.4268997  44.2879164
159 159  39.5233760  44.4069492
160 160  39.6191316  44.5252967
